url,image_url,age,season,type,gender,colour
https://www.flipkart.com/madame-casual-printed-women-green-top/p/itmd2f499b98b3cd?pid=TOPGDD9AXAB3FZKR&lid=LSTTOPGDD9AXAB3FZKREGFLWV&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&fm=organic&iid=en_Pnx00d5hWv4o_GEA3v5la2dce3O7K5MPwuleh5b5W18rkJC5aqMprn0k6vdso3RtRv85ITKyOYMPSRdFjgHDww%3D%3D&ppt=browse&ppn=browse&ssid=j2g1zltqooeuhse81692111173895,https://rukminim2.flixcart.com/image/612/612/l1whaq80/top/d/g/p/xxl-m2s11209-green-madame-original-imagdd98y9juvjzg.jpeg?q=70,teen adult,summer,casual,female,light green
https://www.flipkart.com/mokshi-women-a-line-yellow-white-dress/p/itm73b20dcff55d2?pid=DREGRVFFY3HTNHZZ&lid=LSTDREGRVFFY3HTNHZZQP7APZ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_11&otracker=browse&fm=organic&iid=en_A3hYUwxwPhQNTko9WASLplHnHfDUDSO6AwxKo3L0cKCeJQiGFRmcgENZjm9L6dV5bFqjBhmY9EY1nB3ctt6kJw%3D%3D&ppt=browse&ppn=browse&ssid=7cqqmgh1f3hx7lz41692111232297,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/c/f/z/m-ku799ylo-mokshi-original-imagrvffgzyhbns4.jpeg?q=70,teen,summer,formal casual,female,yellow
https://www.flipkart.com/croza-self-design-bollywood-net-saree/p/itm04f8640e6fd8a?pid=SARGS3B9VH7VMHWJ&lid=LSTSARGS3B9VH7VMHWJUIXTCY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=search-autosuggest&iid=en_SJfIetvidLIzaxOnHb2oIPeJUM2rgC3CYHtjHTWhsXz0lTRfF9kfySoW_YwRrtFCjaUzirWNUfuN2zZE0b5geA%3D%3D&ppt=browse&ppn=browse&ssid=5wx16xrcrj63hbls1692111356705,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/e/z/r/free-plaincombo-croza-unstitched-original-imags3ajhjwrmz5t.jpeg?q=70,adult,summer winter,ethnic,female,red black
https://www.flipkart.com/yashika-floral-print-bollywood-georgette-saree/p/itmcb386e0f107b8?pid=SARGZ5WYPYS82HGD&lid=LSTSARGZ5WYPYS82HGDBKP5SG&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=search-autosuggest&iid=9ca63817-97ae-424e-b19b-1aa6c6d4ba42.SARGZ5WYPYS82HGD.SEARCH&ppt=browse&ppn=browse&ssid=5wx16xrcrj63hbls1692111356705,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/l/x/j/free-saree-silk-sarisp-unstitched-original-imagn4akdtrdz3fw.jpeg?q=70,adult,summer winter,ethnic,female,blue
https://www.flipkart.com/montrez-3-4th-sleeve-solid-women-jacket/p/itm7bb7874e6ac86?pid=JCKFFTG6AGHGNAHS&lid=LSTJCKFFTG6AGHGNAHSDEME9I&marketplace=FLIPKART&store=clo%2Fqvw&spotlightTagId=TrendingId_clo%2Fqvw&srno=b_1_10&otracker=browse&fm=search-autosuggest&iid=58e5ecd0-acd7-4b4c-9eb6-d71cc48615df.JCKFFTG6AGHGNAHS.SEARCH&ppt=browse&ppn=browse&ssid=iy5zehk682p5m2o01692111454647,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/f/4/m/xl-nmnt-4063-montrez-original-imag5ryw2sdktqzj-bb.jpeg?q=70,teen adult,winter,casual,female,dark green
https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itmbca21c1ea0e82?pid=ETHGNPB72TYWAF3W&lid=LSTETHGNPB72TYWAF3WSHXVEH&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_6&otracker=hp_rich_navigation_6_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BEthnic%2BSets_8V5QSI5GE4QH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_6_L2_view-all&fm=organic&iid=58409924-17d6-496f-a7f2-e1e28c3cdf5f.ETHGNPB72TYWAF3W.SEARCH&ppt=browse&ppn=browse&ssid=a1hznyy5gw7uosg01692269606980,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/v/8/q/m-blue-kurta-s-kaashi-couture-original-imagn8rda6bhhggz.jpeg?q=70,teen adult,summer winter,ethnic,male,pink
https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm0c64132de8c00?pid=ETHGNPB77VV4J733&lid=LSTETHGNPB77VV4J733OTZ8E8&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_16&otracker=hp_rich_navigation_6_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BEthnic%2BSets_8V5QSI5GE4QH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_6_L2_view-all&fm=organic&iid=58409924-17d6-496f-a7f2-e1e28c3cdf5f.ETHGNPB77VV4J733.SEARCH&ppt=browse&ppn=browse&ssid=a1hznyy5gw7uosg01692269606980,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/1/s/w/xxl-19-red-kurta-s-kaashi-couture-original-imagn8rdfxzkdmn3.jpeg?q=70,teen adult,summer winter,ethnic,male,red
https://www.flipkart.com/suratilala-men-kurta-pyjama-set/p/itmb787ed0df5975?pid=ETHGN25QVFTUGTNK&lid=LSTETHGN25QVFTUGTNKLXHJP5&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_27&otracker=hp_rich_navigation_6_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BEthnic%2BSets_8V5QSI5GE4QH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_6_L2_view-all&fm=organic&iid=en_rutWCvy8-K2F2O0o-wDCSCWghGXnb8pLGJ7AK0QwFN8johV69RdUE6Ln1ppSzBiMZNBNito9MK-lYn7AdoYMFg%3D%3D&ppt=browse&ppn=browse&ssid=a1hznyy5gw7uosg01692269606980,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/h/b/b/l-gd-501-green-l-i1-flossy-original-imagmxgeqdenvycb.jpeg?q=70,teen adult,summer winter,ethnic,male,green
https://www.flipkart.com/anjavi-fashion-embroidered-bollywood-georgette-saree/p/itm9488d40c92227?pid=SARGN39H4EP5WRVM&lid=LSTSARGN39H4EP5WRVMW3Z3YN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=Search&iid=b2b03e55-b299-4b5d-b4b2-0f2bfabf50ba.SARGN39H4EP5WRVM.SEARCH&ppt=browse&ppn=browse&ssid=mbzmd3uwpwebqhvk1692269836625,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/i/j/a/free-gulab-new-saree-anjavi-fashion-unstitched-original-imagpf73dvsd2gdx.jpeg?q=70,teen adult,summer winter,ethnic formal,female,red maroon
https://www.flipkart.com/ne-style-anarkali-gown/p/itm7a60d5a1a8c55?pid=GWNGBG8NCTQA9ZZC&lid=LSTGWNGBG8NCTQA9ZZCWEZL0H&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_3&otracker=browse&fm=Search&iid=29f6fb91-8b2e-4a72-be71-b64ccbed02f3.GWNGBG8NCTQA9ZZC.SEARCH&ppt=browse&ppn=browse&ssid=7c85q3xvjqp7zeo01692270027454,https://rukminim2.flixcart.com/image/612/612/kzfvzww0/gown/l/z/g/16-s-short-sleeve-stitched-gown-badami-ne-style-60-original-imagbg8m9dpz4wtw.jpeg?q=70,teen adult,summer winter ,casual floral,female,pink
https://www.flipkart.com/ne-style-anarkali-gown/p/itm47ddfd4c2c257?pid=GWNGBG8PYDPVCHH9&lid=LSTGWNGBG8PYDPVCHH9K9EWUC&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_9&otracker=browse&fm=Search&iid=29f6fb91-8b2e-4a72-be71-b64ccbed02f3.GWNGBG8PYDPVCHH9.SEARCH&ppt=browse&ppn=browse,https://rukminim2.flixcart.com/image/612/612/kzfvzww0/gown/n/t/z/17-xl-short-sleeve-stitched-gown-rama-green-ne-style-60-original-imagbg8mwdhswgzh.jpeg?q=70,teen adult,summer winter,casual floral,female,blue
https://www.flipkart.com/barkat-designing-planet-girls-midi-knee-length-casual-dress/p/itm6766f8844c2fc?pid=KDEGZ4ZNDAFBQAVM&lid=LSTKDEGZ4ZNDAFBQAVM7ITMOK&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_8&otracker=browse&fm=Search&iid=en_KEa4zR-lUg2Gjn-FORoDMvS41Rnrw87yA5Ku-aj_WU_0e76rHk-KbfcIQBQE40yhfzfqkuYKpqFsbPBD581GFw%3D%3D&ppt=browse&ppn=browse&ssid=cgg8sc11soevqqkg1692270246370,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-dress/x/u/b/2-3-years-bodycon-barkatdesigningplanet-original-imagz4zmby5hdg78.jpeg?q=70,kid,summer ,party-wear casual,female,red maroon
https://www.flipkart.com/kaarigari-girls-short-mid-thigh-party-dress/p/itm08eab85b5e6d4?pid=KDEGNQCQNFYDJCHR&lid=LSTKDEGNQCQNFYDJCHR8FJFU8&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_28&otracker=browse&fm=Search&iid=en_KEa4zR-lUg2Gjn-FORoDMvS41Rnrw87yA5Ku-aj_WU9K1NZYnyhHZvFF9DilXubFeiRRMUhpzJi1AbcBAooiOw%3D%3D&ppt=browse&ppn=browse,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-dress/q/b/n/9-10-years-dezine-blue-single-sleevelss-dress-kaarigari-original-imagnqcqqvwu6ud8.jpeg?q=70,kid,summer winter ,party-wear casual,female,blue
https://www.flipkart.com/dostitch-boys-printed-polyester-t-shirt/p/itmf62f446cf8263?pid=KTBGS5CGPKUBZMSP&lid=LSTKTBGS5CGPKUBZMSPJYNMUQ&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_2&otracker=browse&fm=Search&iid=en_nyn4qvD0Mc8YAeuX9hxP4loK1i3xLi9mlmeW5rP8a6y2WJcUx62YJJUGQE5aMt4l1wxrfVpAdgd4x3rFbqAHgA%3D%3D&ppt=browse&ppn=browse,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-t-shirt/i/y/w/5-6-years-imp01-dostitch-original-imags5chytf5nenf.jpeg?q=70,kid,summer,casual,male,pink
https://www.flipkart.com/billion-boys-typography-cotton-blend-t-shirt/p/itm87764466e167e?pid=KTBGZFVVKY9GA2NG&lid=LSTKTBGZFVVKY9GA2NGDIMHY7&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_18&otracker=browse&fm=Search&iid=en_nyn4qvD0Mc8YAeuX9hxP4loK1i3xLi9mlmeW5rP8a6yH_WeGKnfYpIhIuOIh5Iab4fuHbF7dd-VAFuLgA-JMjA%3D%3D&ppt=browse&ppn=browse,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-t-shirt/e/n/d/2-3-years-na-bl8081-billion-original-imagzfvveyz35gts.jpeg?q=70,kid,summer ,casual,male,yellow
